gender,age_group,race,education,household_income,state,vote_Trump,vote_Biden,vote_intention
Female,45-64 year olds,White,Some college or associate degree,"$75,000 to $99,999",WI,1,0,"Yes, I will vote"
Female,30-44 year olds,White,Bachelor's degree or higher,"$100,000 to $149,999",VA,0,0,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$150,000 and over",VA,1,0,"Yes, I will vote"
Female,65 years and older,White,High school graduate,"$55,000 to $74,999",TX,1,0,"Yes, I will vote"
Female,45-64 year olds,White,High school graduate,"Less than $14,999",WA,1,0,"Yes, I will vote"
Female,30-44 year olds,White,Some college or associate degree,"Less than $14,999",OH,0,0,"No, I am not eligible to vote"
Female,18-29 year olds,White,Some college or associate degree,"$75,000 to $99,999",MA,0,1,"Yes, I will vote"
Female,30-44 year olds,Black,Some college or associate degree,"Less than $14,999",TX,0,1,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,NA,CA,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$100,000 to $149,999",NC,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$100,000 to $149,999",OH,0,0,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,"$15,000 to $24,999",MD,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$55,000 to $74,999",FL,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$15,000 to $24,999",WV,1,0,"Yes, I will vote"
Female,30-44 year olds,White,High school graduate,"$25,000 to $34,999",OH,0,1,"Yes, I will vote"
Female,65 years and older,White,Bachelor's degree or higher,"$25,000 to $34,999",NY,0,1,"Yes, I will vote"
Female,18-29 year olds,White,Some college or associate degree,NA,KY,0,1,"Yes, I will vote"
Female,65 years and older,White,Bachelor's degree or higher,NA,FL,1,0,"Yes, I will vote"
Male,65 years and older,White,Bachelor's degree or higher,"$150,000 and over",IN,1,0,"Yes, I will vote"
Female,45-64 year olds,White,High school graduate,NA,MI,0,1,"Yes, I will vote"
Male,30-44 year olds,White,Bachelor's degree or higher,"Less than $14,999",WA,0,1,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,NA,IA,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,NA,CA,0,1,Not sure
Female,45-64 year olds,White,Bachelor's degree or higher,"$75,000 to $99,999",SC,1,0,"Yes, I will vote"
Male,65 years and older,White,Some college or associate degree,"$75,000 to $99,999",MN,0,1,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,"$75,000 to $99,999",GA,1,0,"Yes, I will vote"
Female,30-44 year olds,White,Bachelor's degree or higher,"$75,000 to $99,999",PA,1,0,"Yes, I will vote"
Female,65 years and older,White,Bachelor's degree or higher,"$55,000 to $74,999",NJ,0,1,"Yes, I will vote"
Female,30-44 year olds,White,Some college or associate degree,"$25,000 to $34,999",VA,1,0,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,"$100,000 to $149,999",SC,1,0,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,"$100,000 to $149,999",TX,1,0,"Yes, I will vote"
Female,18-29 year olds,Black,Some college or associate degree,"Less than $14,999",FL,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Didn't graduate from high school,"$15,000 to $24,999",NY,0,0,"No, I will not vote but I am eligible"
Female,45-64 year olds,White,Bachelor's degree or higher,"$55,000 to $74,999",AZ,0,1,"Yes, I will vote"
Male,65 years and older,White,Bachelor's degree or higher,"$45,000 to $54,999",IL,0,1,"Yes, I will vote"
Male,65 years and older,White,Some college or associate degree,"$75,000 to $99,999",OH,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$75,000 to $99,999",OH,0,1,"Yes, I will vote"
Male,65 years and older,White,Some college or associate degree,NA,CA,0,1,"Yes, I will vote"
Female,30-44 year olds,White,Didn't graduate from high school,"$15,000 to $24,999",FL,1,0,"Yes, I will vote"
Female,65 years and older,Black,Bachelor's degree or higher,"$55,000 to $74,999",NC,0,1,"Yes, I will vote"
Male,30-44 year olds,White,Bachelor's degree or higher,"$150,000 and over",TX,0,1,"Yes, I will vote"
Female,30-44 year olds,White,NA,"$150,000 and over",FL,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$55,000 to $74,999",NY,0,0,Not sure
Female,30-44 year olds,White,Bachelor's degree or higher,"$75,000 to $99,999",TX,0,1,"Yes, I will vote"
Female,30-44 year olds,White,Bachelor's degree or higher,"$75,000 to $99,999",NJ,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Didn't graduate from high school,"Less than $14,999",AR,0,0,Not sure
Female,45-64 year olds,White,Didn't graduate from high school,"Less than $14,999",OK,0,0,Not sure
Female,30-44 year olds,White,Didn't graduate from high school,"$75,000 to $99,999",NV,0,0,Not sure
Female,18-29 year olds,White,Some college or associate degree,NA,FL,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$45,000 to $54,999",FL,0,0,"Yes, I will vote"
Female,18-29 year olds,Asian,Bachelor's degree or higher,"$55,000 to $74,999",TX,0,0,"Yes, I will vote"
Female,30-44 year olds,White,Didn't graduate from high school,"$15,000 to $24,999",CA,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$55,000 to $74,999",NY,0,0,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,"Less than $14,999",OR,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$25,000 to $34,999",PA,1,0,"Yes, I will vote"
Female,65 years and older,Black,Bachelor's degree or higher,"$100,000 to $149,999",PA,0,1,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,"$75,000 to $99,999",NC,0,1,"Yes, I will vote"
Female,30-44 year olds,White,Some college or associate degree,"$35,000 to $44,999",TX,1,0,"Yes, I will vote"
Female,18-29 year olds,White,Didn't graduate from high school,NA,CA,0,0,"Yes, I will vote"
Male,30-44 year olds,Asian,Bachelor's degree or higher,"$75,000 to $99,999",VA,1,0,"Yes, I will vote"
Male,65 years and older,White,Bachelor's degree or higher,"$75,000 to $99,999",OH,1,0,"Yes, I will vote"
Female,30-44 year olds,Asian,Some college or associate degree,"$100,000 to $149,999",CA,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$75,000 to $99,999",IL,0,1,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,"$100,000 to $149,999",NC,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$45,000 to $54,999",MI,0,1,"Yes, I will vote"
Female,65 years and older,White,High school graduate,"$45,000 to $54,999",PA,0,0,"Yes, I will vote"
Female,18-29 year olds,White,Bachelor's degree or higher,"$150,000 and over",CA,0,1,"Yes, I will vote"
Female,30-44 year olds,White,Some college or associate degree,"$55,000 to $74,999",MI,0,1,"Yes, I will vote"
Male,30-44 year olds,White,Didn't graduate from high school,"$25,000 to $34,999",CT,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$45,000 to $54,999",NC,1,0,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,NA,DE,1,0,"Yes, I will vote"
